;;;;;;;
;PELÍCULAS;;;;;;
;idPelicula;Titulo;Año;Duración;Nota IMDb;Género;Poster
;1;Sin tiempo para morir;2021;163min;7.4;Accion;https://pics.filmaffinity.com/no_time_to_die-525355918-mmed.jpg
;2;El francotirador;2014;132min;7.3;Accion;https://pics.filmaffinity.com/american_sniper-943269662-mmed.jpg
;3;Venganza;2008;93min;7.8;Accion;https://pics.filmaffinity.com/taken-598020426-mmed.jpg
;4;Reservoir Dogs;1992;99min;8.3;Accion;https://pics.filmaffinity.com/reservoir_dogs-904905830-mmed.jpg
;5;Gladiator;2000;150min;8.5;Accion;https://pics.filmaffinity.com/gladiator-564554218-mmed.jpg
;6;Kill Bill Volumen 1;2003;110min;8.1;Accion;https://pics.filmaffinity.com/kill_bill_volume_1_aka_kill_bill_vol_1-216872360-mmed.jpg
;7;Men in Black ;1997;98min;7.3;Accion;https://pics.filmaffinity.com/men_in_black_mib-438261396-mmed.jpg
;8;Ghost in the Shell 2.0;2008;83min;8.0;Accion;https://pics.filmaffinity.com/kokaku_kidotai_2_0_ghost_in_the_shell_2_0-813867896-mmed.jpg
;9;Despierta la furia;2021;119min;7.1;Accion;https://pics.filmaffinity.com/wrath_of_man-727553252-mmed.jpg
;10;John Wick;2014;101min;7.4;Accion;https://pics.filmaffinity.com/john_wick-166872838-mmed.jpg
;11;Need for Speed;2014;130min;6.4;Accion;https://pics.filmaffinity.com/need_for_speed-821158567-mmed.jpg
;12;El amanecer del planeta de los simios;2014;130min;7.6;Accion;https://pics.filmaffinity.com/dawn_of_the_planet_of_the_apes-766600891-mmed.jpg
;13;Una noche para sobrevivir;2015;114min;6.6;Accion;https://pics.filmaffinity.com/run_all_night-707625667-mmed.jpg
;14;Origen;2010;148min;8.8;Accion;https://pics.filmaffinity.com/inception-652954101-mmed.jpg
;15;Yojimbo (El mercenario);1961;110min;8.2;Accion;https://pics.filmaffinity.com/yojinbo_yojimbo_the_bodyguard-964803518-mmed.jpg
;16;Matrix;1999;131min;8.7;Accion;https://pics.filmaffinity.com/the_matrix-155050517-mmed.jpg
;17;El profesional (Léon);1994;106min;8.5;Accion;https://pics.filmaffinity.com/leon_leon-207548886-mmed.jpg
;18;El invitado;2012;115min;6.7;Accion;https://pics.filmaffinity.com/safe_house-299293074-mmed.jpg
;19;Jack Ryan: Operación Sombra;2014;105min;6.2;Accion;https://pics.filmaffinity.com/jack_ryan_shadow_recruit_aka_shadow_one-456017943-mmed.jpg
;20;Elysium;2013;109min;6.6;Accion;https://pics.filmaffinity.com/elysium-857520115-mmed.jpg
;21;Blood Father;2016;85min;6.4;Accion;https://pics.filmaffinity.com/blood_father-735660707-mmed.jpg
,;22;Safe;2012;94min;6.5;Accion;https://pics.filmaffinity.com/safe-665622815-mmed.jpg
;23;Terminator 2: El juicio final;1991;135min;8.5;Accion;https://pics.filmaffinity.com/t2_terminator_2_judgment_day-825143697-mmed.jpg
;24;Sin City (Ciudad del pecado);2005;124min;8.0;Accion;https://pics.filmaffinity.com/sin_city_frank_miller_s_sin_city-677469240-mmed.jpg
;25;Baby Driver;2017;115min;7.6;Accion;https://pics.filmaffinity.com/baby_driver-399368582-mmed.jpg
;26;Redención;2013;100min;6.2;Accion;https://pics.filmaffinity.com/hummingbird_aka_redemption-586607235-mmed.jpg
;27;Operación U.N.C.L.E.;2015;116min;7.3;Accion;https://pics.filmaffinity.com/the_man_from_u_n_c_l_e-205242431-mmed.jpg
;28;John Wick: Pacto de sangre;2017;122min;7.5;Accion;https://pics.filmaffinity.com/john_wick_chapter_two-435532369-mmed.jpg
;29;Skyfall;2012;143min;7.8;Accion;https://pics.filmaffinity.com/skyfall-387366879-mmed.jpg
;30;Malditos bastardos;2009;146min;8.3;Accion;https://pics.filmaffinity.com/inglourious_basterds-976286054-mmed.jpg
;31;Rambo: Last Blood;2019;100min;6.1;Accion;https://pics.filmaffinity.com/rambo_last_blood-756933079-mmed.jpg
;32;Mad Max: Furia en la carretera;2015;120min;8.1;Accion;https://pics.filmaffinity.com/mad_max_fury_road-429261909-mmed.jpg
;33;Fast & Furious: Hobbs & Shaw;2019;135min;6.5;Accion;https://pics.filmaffinity.com/fast_furious_presents_hobbs_shaw-729732578-mmed.jpg
;34;Kingsman: Servicio secreto;2014;129min;7.7;Accion;https://pics.filmaffinity.com/kingsman_the_secret_service-485444831-mmed.jpg
;35;The Equalizer: El protector;2014;128min;7.2;Accion;https://pics.filmaffinity.com/the_equalizer-392015711-mmed.jpg
;36;Asesinos de élite;2011;105min;6.4;Accion;https://pics.filmaffinity.com/killer_elite-639465993-mmed.jpg
;37;Escuadrón suicida;2016;123min;5.9;Accion;https://pics.filmaffinity.com/suicide_squad-430263618-mmed.jpg
;38;Transporter;2002;92min;6.8;Accion;https://pics.filmaffinity.com/the_transporter-475604999-mmed.jpg
;39;Un espía y medio;2016;114min;6.3;Accion;https://pics.filmaffinity.com/central_intelligence-570952557-mmed.jpg
;40;Tomb Raider;2018;122min;6.3;Accion;https://pics.filmaffinity.com/tomb_raider-485556121-mmed.jpg
;41;Infiltrados;2006;149min;8.5;Accion;https://pics.filmaffinity.com/the_departed-749477966-mmed.jpg
;42;Kill Bill. Volumen 2;2004;137min;8.0;Accion;https://pics.filmaffinity.com/kill_bill_volume_2-249713987-mmed.jpg
;43;Los mercenarios;2010;100min;6.5;Accion;https://pics.filmaffinity.com/the_expendables-597606855-mmed.jpg
;44;Spectre;2015;148min;6.8;Accion;https://pics.filmaffinity.com/spectre-683709494-mmed.jpg
;45;Tenet;2019;150min;7.4;Accion;https://pics.filmaffinity.com/tenet-432994986-mmed.jpg
;46;La fortaleza escondida;1958;139min;8.1;Accion;https://pics.filmaffinity.com/kakushi_toride_no_san_akunin_the_hidden_fortress-752949972-mmed.jpg
;47;Dunkerque;2017;107min;7.8;Accion;https://pics.filmaffinity.com/dunkirk-461720087-mmed.jpg
;48;El señor de los anillos: El retorno del rey;2003;201min;8.8;Accion;https://pics.filmaffinity.com/the_lord_of_the_rings_the_return_of_the_king-178294596-mmed.jpg
;49;Logan;2017;135min;8.1;Accion;https://pics.filmaffinity.com/logan-528968427-mmed.jpg
;50;In Time;2011;109min;6.7;Accion;https://pics.filmaffinity.com/in_time-139117348-mmed.jpg
;51;El padrino;1972;175min;9.2;Drama;https://pics.filmaffinity.com/the_godfather-488102675-mmed.jpg
;52;El último duelo;2021;152min;7.5;Drama;https://pics.filmaffinity.com/the_last_duel-563139924-mmed.jpg
;53;El renacido;2015;156min;8.0;Drama;https://pics.filmaffinity.com/the_revenant-498846647-mmed.jpg
;54;Malcolm X;1992;193min;7.7;Drama;https://pics.filmaffinity.com/malcolm_x-849798777-mmed.jpg
;55;The Fighter;2010;115min;7.8;Drama;https://pics.filmaffinity.com/the_fighter-295947851-mmed.jpg
;56;Infiltrado;2016;127min;7.0;Drama;https://pics.filmaffinity.com/the_infiltrator-296206595-mmed.jpg
;57;El pianista;2002;148min;8.5;Drama;https://pics.filmaffinity.com/the_pianist_le_pianiste-978132965-mmed.jpg
;58;El precio del poder;1983;163min;8.3;Drama;https://pics.filmaffinity.com/scarface-798722679-mmed.jpg
;59;Érase una vez en... Hollywood;2019;165min;7.6;Drama;https://pics.filmaffinity.com/once_upon_a_time_in_hollywood-987163522-mmed.jpg
;60;El lado bueno de las cosas;2012;120min;7.7;Drama;https://pics.filmaffinity.com/silver_linings_playbook-651038776-mmed.jpg
;61;8 millas;2002;112min;7.1;Drama;https://pics.filmaffinity.com/8_mile-229373133-mmed.jpg
;62;Gran torino;2008;119min;8.1;Drama;https://pics.filmaffinity.com/gran_torino-278262332-mmed.jpg
;63;Nomadland;2020;108min;7.4;Drama;https://pics.filmaffinity.com/nomadland-118487105-mmed.jpg
;64;Le Mans '66;2019;152min;8.1;Drama;https://pics.filmaffinity.com/ford_v_ferrari-929107889-mmed.jpg
;65;Joker;2019;122min;8.4;Drama;https://pics.filmaffinity.com/joker-790658206-mmed.jpg
;66;Creed. La leyenda de Rocky;2015;132min;7.6;Drama;https://pics.filmaffinity.com/creed-232228847-mmed.jpg
;67;Moneyball: Rompiendo las reglas;2011;133min;7.6;Drama;https://pics.filmaffinity.com/moneyball-572287299-mmed.jpg
;68;Uno de los nuestros;1990;148min;8.7;Drama;https://pics.filmaffinity.com/goodfellas-722948658-mmed.jpg
;69;El vuelo;2012;138min;7.3;Drama;https://pics.filmaffinity.com/flight-730948196-mmed.jpg
;70;Dallas Buyers Club;2013;117min;8.0;Drama;https://pics.filmaffinity.com/dallas_buyers_club-828242648-mmed.jpg
;71;Shutter Island;2010;138min;8.2;Drama;https://pics.filmaffinity.com/shutter_island-215721197-mmed.jpg
;72;Drive;2011;100min;7.8;Drama;https://pics.filmaffinity.com/drive-467825966-mmed.jpg
;73;Cadena perpetua;1994;142min;9.3;Drama;https://pics.filmaffinity.com/the_shawshank_redemption-576140557-mmed.jpg
;74;Mula;2018;116min;7.0;Drama;https://pics.filmaffinity.com/the_mule-724894082-mmed.jpg
;75;La gran apuesta;2015;123min;7.8;Drama;https://pics.filmaffinity.com/the_big_short-129125490-mmed.jpg
;76;Pulp fiction;1994;153min;8.9;Drama;https://pics.filmaffinity.com/pulp_fiction-210382116-mmed.jpg
;77;El vicio del poder;2018;132min;7.2;Drama;https://pics.filmaffinity.com/vice-361559090-mmed.jpg
;78;El padre;2020;97min;8.3;Drama;https://pics.filmaffinity.com/the_father-901439398-mmed.jpg
;79;Toro salvaje;1980;124min;8.2;Drama;https://pics.filmaffinity.com/raging_bull-820857019-mmed.jpg
;80;La lista de Schindler;1993;195min;8.9;Drama;https://pics.filmaffinity.com/schindler_s_list-473662617-mmed.jpg
;81;Loving Pablo;2017;123min;6.3;Drama;https://pics.filmaffinity.com/loving_pablo-528402943-mmed.jpg
;82;Green Book;2018;130min;8.2;Drama;https://pics.filmaffinity.com/green_book-786419795-mmed.jpg
;83;Capitán Phillips;2013;135min;7.8;Drama;https://pics.filmaffinity.com/captain_phillips-273270973-mmed.jpg
;84;No es país para viejos;2007;122min;8.1;Drama;https://pics.filmaffinity.com/no_country_for_old_men-150566696-mmed.jpg
;85;Moonlight;2016;111min;7.4;Drama;https://pics.filmaffinity.com/moonlight-232276883-mmed.jpg
;86;Straight Outta Compton;2015;147min;7.8;Drama;https://pics.filmaffinity.com/straight_outta_compton-226610560-mmed.jpg
;87;Parásitos;2019;132min;8.6;Drama;https://pics.filmaffinity.com/gisaengchung-610652607-mmed.jpg
;88;La red social;2010;120min;7.7;Drama;https://pics.filmaffinity.com/the_social_network-421032493-mmed.jpg
;89;Dioses y monstruos;1998;105min;7.4;Drama;https://pics.filmaffinity.com/gods_and_monsters-768789260-mmed.jpg
;90;Animales nocturnos;2016;115min;7.5;Drama;https://pics.filmaffinity.com/nocturnal_animals-883173584-mmed.jpg
;91;El americano;2010;105min;6.3;Drama;https://pics.filmaffinity.com/the_american-216158246-mmed.jpg
;92;12 años de esclavitud;2013;133min;8.1;Drama;https://pics.filmaffinity.com/12_years_a_slave_twelve_years_a_slave-305655779-mmed.jpg
;93;El curioso caso de Benjamin Button;2008;167min;7.8;Drama;https://pics.filmaffinity.com/the_curious_case_of_benjamin_button-553974725-mmed.jpg
;94;Belleza oculta;2016;94min;6.8;Drama;https://pics.filmaffinity.com/collateral_beauty-331373149-mmed.jpg
;95;El último emperador;1987;156min;7.7;Drama;https://pics.filmaffinity.com/the_last_emperor-467204798-mmed.jpg
;96;Nightcrawler;2014;113min;7.8;Drama;https://pics.filmaffinity.com/nightcrawler-317347366-mmed.jpg
;97;Ha nacido una estrella;2018;135min;7.6;Drama;https://pics.filmaffinity.com/a_star_is_born-447479418-mmed.jpg
;98;Boyhood (Momentos de una vida);2014;159min;7.9;Drama;https://pics.filmaffinity.com/boyhood-954973569-mmed.jpg
;99;Manchester frente al mar;2016;135min;7.8;Drama;https://pics.filmaffinity.com/manchester_by_the_sea-889918647-mmed.jpg
;100;La dama de hierro;2011;105min;6.4;Drama;https://pics.filmaffinity.com/the_iron_lady-610734875-mmed.jpg
;101;Zoolander: Un descerebrado de moda;2001;89;6.5;Comedia;https://pics.filmaffinity.com/zoolander-604094084-mmed.jpg
;102;My Sassy Girl;2001;135min;8.0;Comedia;https://pics.filmaffinity.com/yeopgijeogin_geunyeo_my_sassy_girl-379672172-mmed.jpg
;103;Borat ;2006;84min;7.3;Comedia;https://pics.filmaffinity.com/borat_cultural_learnings_of_america_for_make_benefit_glorious_nation_of_kazakhstan-512396849-mmed.jpg
;104;Dos buenos tipos;2016;116min;7.4;Comedia;https://pics.filmaffinity.com/the_nice_guys-516760362-mmed.jpg
;105;Algo pasa con Mary;1998;119min;7.1;Comedia;https://pics.filmaffinity.com/there_s_something_about_mary-465333352-mmed.jpg
;106;Resacón en Las Vegas;2009;100min;7.7;Comedia;https://pics.filmaffinity.com/the_hangover-726045836-mmed.jpg
;107;La entrevista;2014;112min;6.5;Comedia;https://pics.filmaffinity.com/the_interview-278650317-mmed.jpg
;108;Cómo acabar con tu jefe;2011;100min;6.8;Comedia;https://pics.filmaffinity.com/horrible_bosses-786462875-mmed.jpg
;109;Ted;2012;106min;6.9;Comedia;https://pics.filmaffinity.com/ted-632757357-mmed.jpg
;110;El clan de los rompehuesos;2005;113min;6.4;Comedia;https://pics.filmaffinity.com/the_longest_yard-148424084-mmed.jpg
;111;Salidos de cuentas;2010;100min;6.5;Comedia;https://pics.filmaffinity.com/due_date-332515431-mmed.jpg
;112;Paul;2011;103min;7.0;Comedia;https://pics.filmaffinity.com/paul-801784289-mmed.jpg
;113;Entourage (El séquito);2015;104min;6.6;Comedia;https://pics.filmaffinity.com/entourage-910281680-mmed.jpg
;114;Y de repente tú;2015;125min;6.2;Comedia;https://pics.filmaffinity.com/trainwreck-190246355-mmed.jpg
;115;Puñales por la espalda;2019;130min;7.9;Comedia;https://pics.filmaffinity.com/knives_out-326770674-mmed.jpg
;116;Starsky & Hutch;2004;101min;6.1;Comedia;https://pics.filmaffinity.com/starsky_hutch_aka_starsky_and_hutch_the_movie-129326556-mmed.jpg
;117;La máscara;1994;101;6.9;Comedia;https://pics.filmaffinity.com/the_mask-746858956-mmed.jpg
;118;Click;2006;107min;6.4;Comedia;https://pics.filmaffinity.com/click-924581501-mmed.jpg
;119;El becario;2015;121min;7.1;Comedia;https://pics.filmaffinity.com/the_intern-267828724-mmed.jpg
;120;El dictador;2012;83min;6.4;Comedia;https://pics.filmaffinity.com/the_dictator-138905408-mmed.jpg
;121;Yucatán;2018;130min;5.6;Comedia;https://pics.filmaffinity.com/yucatan-564640894-mmed.jpg
;122;El diario de Bridget Jones;2001;100min;6.7;Comedia;https://pics.filmaffinity.com/bridget_jones_s_diary-320975640-mmed.jpg
;123;Se nos fue de las manos;2014;85min;6.8;Comedia;https://pics.filmaffinity.com/babysitting-661690405-mmed.jpg
;124;Cómo acabar sin tu jefe 2;2014;105min;6.3;Comedia;https://pics.filmaffinity.com/horrible_bosses_2-408816038-mmed.jpg
;125;Arma fatal;2007;121min;7.8;Comedia;https://pics.filmaffinity.com/hot_fuzz-381252727-mmed.jpg
;126;Johnny English;2003;88min;6.2;Comedia;https://pics.filmaffinity.com/johnny_english-466735129-mmed.jpg
;127;Ocho apellidos vascos;2014;98min;6.5;Comedia;https://pics.filmaffinity.com/ocho_apellidos_vascos-836127633-mmed.jpg
;128;Snatch. Cerdos y diamantes;2000;104min;8.2;Comedia;https://pics.filmaffinity.com/snatch-921179475-mmed.jpg
;129;El gran Lebowski;1998;117min;8.1;Comedia;https://pics.filmaffinity.com/the_big_lebowski-877217211-mmed.jpg
;130;Solo en casa;1990;100min;7.6;Comedia;https://pics.filmaffinity.com/home_alone-163260879-mmed.jpg
;131;Niños grandes;2010;97min;6.0;Comedia;https://pics.filmaffinity.com/grown_ups-567297059-mmed.jpg
;132;Ted 2;2015;115min;6.3;Comedia;https://pics.filmaffinity.com/ted_2-177396934-mmed.jpg
;133;Supermaderos;2002;99min;7.1;Comedia;https://pics.filmaffinity.com/super_troopers-635619773-mmed.jpg
;134;Proyecto X;2012;88min;6.6;Comedia;https://pics.filmaffinity.com/project_x-191267760-mmed.jpg
;135;Malditos vecinos;2014;96min;6.3;Comedia;https://pics.filmaffinity.com/neighbors-933128749-mmed.jpg
;136;El gran Stan: El matón de la prisión;2007;105min;6.2;Comedia;https://pics.filmaffinity.com/big_stan-945915466-mmed.jpg
;137;Norbit;2007;102min;4.1;Comedia;https://pics.filmaffinity.com/norbit-332878711-mmed.jpg
;138;Infiltrados en la universidad;2014;120min;7.0;Comedia;https://pics.filmaffinity.com/22_jump_street-643395530-mmed.jpg
;139;Pixels;2015;105min;5.5;Comedia;https://pics.filmaffinity.com/pixels-369347945-mmed.jpg
;140;El mundo es nuestro;2012;87min;6.6;Comedia;https://pics.filmaffinity.com/el_mundo_es_nuestro-968175243-mmed.jpg
;141;De-mentes criminales;2016;94min;5.8;Comedia;https://pics.filmaffinity.com/masterminds_aka_loomis_fargo-181851356-mmed.jpg
;142;Superagente 86 de película;2008;110min;6.5;Comedia;https://pics.filmaffinity.com/get_smart-679279556-mmed.jpg
;143;Resacón 2: ¡Ahora en Tailandia!;2011;102min;6.5;Comedia;https://pics.filmaffinity.com/the_hangover_part_ii-126131083-mmed.jpg
;144;Amélie;2001;120min;8.3;Comedia;https://pics.filmaffinity.com/le_fabuleux_destin_d_amelie_poulain-848337470-mmed.jpg
;145;Dos tontos muy tontos;1994;106min;7.3;Comedia;https://pics.filmaffinity.com/dumb_and_dumber_dumb_dumber-138209855-mmed.jpg
;146;Colega, ¿dónde está mi coche?;2000;95min;5.5;Comedia;https://pics.filmaffinity.com/dude_where_s_my_car-919078711-mmed.jpg
;147;Scary Movie;2000;88miin;6.2;Comedia;https://pics.filmaffinity.com/scary_movie-943532513-mmed.jpg
;148;Súper empollonas;2019;102min;7.2;Comedia;https://pics.filmaffinity.com/booksmart-275958553-mmed.jpg
;149;Vaya patrulla;2014;100min;6.2;Comedia;https://pics.filmaffinity.com/ride_along-858561255-mmed.jpg
